	id	age	income	children	gender	region	married	car	savings_acct	current_acct	mortgage	pep	income_znorm	age_bins	income_norm	age_norm	children_norm	FEMALE	MALE	INNER_CITY	RURAL	SUBURBAN	TOWN	MARRIED_NO	MARRIED_YES	CAR_NO	CAR_YES	SAVINGS_NO	SAVINGS_YES	CURRENT_NO	CURRENT_YES	MORTGAGE_NO	MORTGAGE_YES	PEP_NO	PEP_YES	young	mid	old
12	ID12113	44	15735.8	1	FEMALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	-0.9138540436083266	mid	0.18448637713368926	0.5306122448979592	0.3333333333333333	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0
13	ID12114	66	55204.7	1	FEMALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	2.145876733539738	old	0.8636276584596743	0.9795918367346939	0.3333333333333333	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1
14	ID12115	36	19474.6	0	MALE	RURAL	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-0.6240126386134779	mid	0.24881990106320317	0.3673469387755102	0.0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0
15	ID12116	38	22342.1	0	FEMALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-0.40171665358546654	mid	0.29816096768026784	0.40816326530612246	0.0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0
16	ID12117	37	17729.8	2	FEMALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_NO	MORTGAGE_YES	PEP_NO	-0.7592740282130852	mid	0.21879713104281806	0.3877551020408163	0.6666666666666666	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0
17	ID12118	46	41016.0	0	FEMALE	SUBURBAN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_YES	PEP_NO	1.0459321676227569	mid	0.6194827266690746	0.5714285714285714	0.0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0
18	ID12119	62	26909.2	0	FEMALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_YES	-0.04766329936700762	old	0.3767470480104495	0.8979591836734694	0.0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1
19	ID12120	31	22522.8	0	MALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.38770832420636914	young	0.30127027220954544	0.2653061224489796	0.0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0
20	ID12121	61	57880.7	2	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_YES	2.3533271453740743	old	0.9096735849696185	0.8775510204081632	0.6666666666666666	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1
21	ID12122	50	16497.3	2	MALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.8548206024230325	mid	0.1975895060714032	0.6530612244897959	0.6666666666666666	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0
22	ID12123	54	38446.6	0	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	0.8467456623286078	mid	0.5752710661404308	0.7346938775510204	0.0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0
23	ID12124	27	15538.8	0	FEMALE	TOWN	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-0.9291259909668333	young	0.18109659853785257	0.1836734693877551	0.0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0
24	ID12125	22	12640.3	2	MALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-1.1538251758329854	young	0.1312221149843872	0.08163265306122448	0.6666666666666666	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0
25	ID12126	56	41034.0	0	MALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	1.0473275739803871	mid	0.6197924526321459	0.7755102040816326	0.0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0
26	ID12127	45	20809.7	0	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-0.520512248165039	mid	0.27179296402412495	0.5510204081632653	0.0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0
27	ID12128	39	20114.0	1	FEMALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.574444703887441	mid	0.25982205555141635	0.42857142857142855	0.3333333333333333	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0
28	ID12129	39	29359.1	3	FEMALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_YES	PEP_NO	0.14225925816398607	mid	0.4189024722842582	0.42857142857142855	1.0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0
29	ID12130	61	24270.1	1	MALE	RURAL	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.2522531281682021	old	0.33133605972480157	0.8775510204081632	0.3333333333333333	0	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
30	ID12131	61	22942.9	2	FEMALE	RURAL	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.35514109027079177	old	0.30849893204767237	0.8775510204081632	0.6666666666666666	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1
31	ID12132	20	16325.8	2	FEMALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_NO	-0.86811572410823	young	0.19463850592325094	0.04081632653061224	0.6666666666666666	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0
32	ID12133	45	23443.2	1	MALE	SUBURBAN	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.3163565457862185	mid	0.3171075931212617	0.5510204081632653	0.3333333333333333	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0
33	ID12134	33	29921.3	3	FEMALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_NO	0.1858424500672984	young	0.42857624653085413	0.30612244897959184	1.0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0
34	ID12135	43	37521.9	0	MALE	SUBURBAN	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	0.7750605368341348	mid	0.5593597551375364	0.5102040816326531	0.0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0
35	ID12136	27	19868.0	2	FEMALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.5935152574417185	young	0.25558913405610756	0.1836734693877551	0.6666666666666666	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0
36	ID12137	19	10953.0	3	MALE	RURAL	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-1.2846290173457189	young	0.10218874734603565	0.02040816326530612	1.0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0
37	ID12138	36	13381.0	0	FEMALE	RURAL	MARRIED_NO	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	-1.096404204216508	mid	0.14396733836477427	0.3673469387755102	0.0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0
38	ID12139	43	18504.3	0	FEMALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.6992327935472805	mid	0.23212395095386132	0.5102040816326531	0.0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0
39	ID12140	66	25391.5	2	FEMALE	SUBURBAN	MARRIED_NO	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.16531931208784909	old	0.3506319872241482	0.9795918367346939	0.6666666666666666	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1
40	ID12141	55	26774.2	0	MALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_YES	PEP_YES	-0.05812884704923309	mid	0.3744241032874142	0.7551020408163265	0.0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0
41	ID12142	47	26952.6	0	FEMALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.04429881959361086	mid	0.37749383172141043	0.5918367346938775	0.0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0
42	ID12143	67	55716.5	2	MALE	TOWN	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_YES	2.1855527876416865	old	0.8724342000096703	1.0	0.6666666666666666	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1
43	ID12144	32	27571.5	0	FEMALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_YES	PEP_NO	0.003679902336236228	young	0.38814324275168116	0.2857142857142857	0.0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0
44	ID12145	20	13740.0	2	MALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-1.0685735996393309	young	0.15014465062825333	0.04081632653061224	0.6666666666666666	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0
45	ID12146	64	52670.6	2	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	1.9494267751580527	old	0.8200234049586094	0.9387755102040817	0.6666666666666666	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1
46	ID12147	50	13283.9	1	FEMALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	-1.1039316462901683	mid	0.14229653886398366	0.6530612244897959	0.3333333333333333	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0
47	ID12148	29	13106.6	2	MALE	INNER_CITY	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	-1.1176763989128242	young	0.13924573812773064	0.22448979591836735	0.6666666666666666	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0
48	ID12149	52	39547.8	2	MALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	0.9321135223853985	mid	0.5942194122812196	0.6938775510204082	0.6666666666666666	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0
49	ID12150	47	17867.3	2	FEMALE	RURAL	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_NO	-0.7486146740923	mid	0.2211630932607244	0.5918367346938775	0.6666666666666666	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0
50	ID12151	24	14309.7	2	MALE	TOWN	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_NO	-1.0244089884203393	young	0.1599474773594623	0.12244897959183673	0.6666666666666666	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0
51	ID12152	36	23894.8	0	MALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_NO	MORTGAGE_NO	PEP_NO	-0.28134735072478884	mid	0.3248782733947635	0.3673469387755102	0.0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0
52	ID12153	43	16259.7	1	MALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.8732399663437492	mid	0.1935011233588611	0.5102040816326531	0.3333333333333333	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0
53	ID12154	48	29794.1	1	MALE	SUBURBAN	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	0.17598157847337925	mid	0.42638751639181643	0.6122448979591837	0.3333333333333333	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0
54	ID12155	63	56842.5	0	MALE	TOWN	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	2.272843207568989	old	0.8918092796995796	0.9183673469387755	0.0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	1
55	ID12156	52	47835.8	3	FEMALE	RURAL	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_YES	1.5746206274986183	mid	0.7368310112776386	0.6938775510204082	1.0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0
56	ID12157	58	24977.5	0	FEMALE	INNER_CITY	MARRIED_NO	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.19741365831334054	mid	0.3435082900735066	0.8163265306122449	0.0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0
57	ID12158	28	23124.9	0	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.3410319815436434	young	0.3116306056742829	0.20408163265306123	0.0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0
58	ID12159	29	15143.8	0	FEMALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.9597474082592709	young	0.17429983434823076	0.22448979591836735	0.0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0
59	ID12160	34	25334.3	1	MALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	-0.1697536034020958	young	0.34964774694149914	0.32653061224489793	0.3333333333333333	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0
60	ID12161	42	24763.3	1	FEMALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	-0.21401899396913834	mid	0.3398225511129572	0.4897959183673469	0.3333333333333333	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0
61	ID12162	65	36589.0	1	FEMALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	0.7027397262211855	old	0.5433073467514651	0.9591836734693877	0.3333333333333333	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1
62	ID12163	47	27022.6	2	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.0388722393139384	mid	0.3786983215777991	0.5918367346938775	0.6666666666666666	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0
63	ID12164	20	11700.4	0	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_NO	-1.2266886444739018	young	0.11504925761267701	0.04081632653061224	0.0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0
64	ID12165	21	5014.21	0	MALE	TOWN	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-1.7450193130473766	young	0.0	0.061224489795918366	0.0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0
65	ID12166	42	17390.1	0	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.7856084470845814	mid	0.2129519138397433	0.4897959183673469	0.0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0
66	ID12167	19	10861.0	2	MALE	TOWN	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-1.2917610942847169	young	0.10060570353478197	0.02040816326530612	0.6666666666666666	0	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0
67	ID12168	41	34892.9	0	FEMALE	TOWN	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	0.5712536860447218	mid	0.5141225575311675	0.46938775510204084	0.0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0
68	ID12169	30	19403.1	2	MALE	TOWN	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.6295555027562861	young	0.2475896007098919	0.24489795918367346	0.6666666666666666	0	1	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0
69	ID12170	31	10441.9	2	FEMALE	RURAL	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	-1.32425080564487	young	0.09339425069460348	0.2653061224489796	0.6666666666666666	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0
70	ID12171	25	14064.9	3	MALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-1.0433865148841082	young	0.15573520426169157	0.14285714285714285	1.0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0
71	ID12172	21	8062.73	0	MALE	INNER_CITY	MARRIED_NO	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_YES	-1.5086901914161321	young	0.05245587738568573	0.061224489795918366	0.0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0
72	ID12173	36	31982.0	3	MALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	0.34559322124331343	mid	0.4640347072031419	0.3673469387755102	1.0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0
73	ID12174	58	23197.5	2	FEMALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_NO	MORTGAGE_YES	PEP_NO	-0.3354038425678689	mid	0.31287983372533745	0.8163265306122449	0.6666666666666666	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0
74	ID12175	64	52674.0	2	FEMALE	INNER_CITY	MARRIED_NO	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	1.949690351914494	old	0.820081908751634	0.9387755102040817	0.6666666666666666	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1
75	ID12176	59	35610.5	2	FEMALE	RURAL	MARRIED_NO	CAR_YES	SAVINGS_NO	CURRENT_NO	MORTGAGE_NO	PEP_YES	0.6268838861689069	mid	0.5264702992589463	0.8367346938775511	0.6666666666666666	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0
76	ID12177	45	26948.0	0	FEMALE	TOWN	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_NO	-0.04465542344056065	mid	0.3774146795308478	0.5510204081632653	0.0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0
77	ID12178	61	49456.7	1	MALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_YES	MORTGAGE_YES	PEP_YES	1.700276970003205	old	0.7647218342522156	0.8775510204081632	0.3333333333333333	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1
78	ID12179	30	14724.5	0	FEMALE	INNER_CITY	MARRIED_YES	CAR_YES	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_NO	-0.9922526241345088	young	0.16708494010846262	0.24489795918367346	0.0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	1	0	0
79	ID12180	58	34524.9	2	FEMALE	TOWN	MARRIED_YES	CAR_YES	SAVINGS_YES	CURRENT_NO	MORTGAGE_NO	PEP_YES	0.5427253782887295	mid	0.5077903822861528	0.8163265306122449	0.6666666666666666	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0
80	ID12181	50	22052.1	3	FEMALE	TOWN	MARRIED_NO	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.42419820045839535	mid	0.293170938275229	0.6530612244897959	1.0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0
81	ID12182	30	27808.1	3	MALE	INNER_CITY	MARRIED_NO	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_NO	PEP_NO	0.022021743681529045	young	0.39221441846627486	0.24489795918367346	1.0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0
82	ID12183	29	12591.4	1	FEMALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_NO	-1.1576160297712137	young	0.13038069278470998	0.22448979591836735	0.3333333333333333	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0
83	ID12184	35	16394.4	1	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_YES	CURRENT_YES	MORTGAGE_NO	PEP_YES	-0.8627976754341509	young	0.1958189059825119	0.3469387755102041	0.3333333333333333	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0
84	ID12185	62	24026.1	0	MALE	INNER_CITY	MARRIED_YES	CAR_NO	SAVINGS_NO	CURRENT_YES	MORTGAGE_YES	PEP_YES	-0.2711686365716318	old	0.32713755222538965	0.8979591836734694	0.0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1
